game_date,season_id,elo_home,elo_away,elo_diff,elo_prob,pf_roll_home,pf_roll_away,pf_roll_diff,pa_roll_home,pa_roll_away,pa_roll_diff,win_roll_home,win_roll_away,win_roll_diff,margin_roll_home,margin_roll_away,margin_roll_diff,games_in_window_home,games_in_window_away,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_diff,market_prob_home,market_prob_away,home_players_out,away_players_out,home_players_questionable,away_players_questionable,home_injury_severity,away_injury_severity,home_win
2021-06-11,22021,1499.1930278668283,1492.8044632059843,6.38856466084394,0.6081941989679831,79.4,86.2,-6.799999999999997,81.5,86.0,-4.5,0.5,0.4,0.09999999999999998,-2.0999999999999943,0.20000000000000284,-2.299999999999997,10.0,10.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-12,22021,1425.6075951823177,1456.3834709757837,-30.775875793465957,0.5562094485581748,73.6,77.5,-3.9000000000000057,89.8,77.9,11.899999999999991,0.1,0.3,-0.19999999999999998,-16.200000000000003,-0.4000000000000057,-15.799999999999997,10.0,10.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-12,22021,1489.6817618054945,1489.9918560808487,-0.3100942753542313,0.5989680949863015,80.55555555555556,76.55555555555556,4.0,80.66666666666667,78.88888888888889,1.7777777777777857,0.4444444444444444,0.4444444444444444,0.0,-0.11111111111111427,-2.3333333333333286,2.2222222222222143,9.0,9.0,4.0,2.0,0,0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-13,22021,1549.8129308231687,1504.968347185344,44.8445836378246,0.6595071228130971,89.7,86.3,3.4000000000000057,80.1,83.0,-2.9000000000000057,0.7,0.5,0.19999999999999996,9.600000000000009,3.299999999999997,6.300000000000011,10.0,10.0,8.0,2.0,0,0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-13,22021,1487.0291438874683,1504.8264407873555,-17.797296899887215,0.5745654539414203,78.2,81.66666666666667,-3.4666666666666686,80.4,84.77777777777777,-4.377777777777766,0.5,0.5555555555555556,-0.05555555555555558,-2.200000000000003,-3.1111111111111,0.9111111111110972,10.0,9.0,2.0,8.0,0,0,-6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-13,22021,1561.4622263641802,1564.4235297618204,-2.961303397640222,0.5952967067318006,81.4,88.3,-6.8999999999999915,72.5,81.9,-9.400000000000006,0.8,0.8,0.0,8.900000000000006,6.3999999999999915,2.500000000000014,10.0,10.0,8.0,2.0,0,0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-13,22021,1491.7601024773276,1474.0525946688904,17.707507808437185,0.6236066357347056,81.8,80.5,1.2999999999999972,87.4,80.4,7.0,0.4,0.4,0.0,-5.6000000000000085,0.09999999999999432,-5.700000000000003,10.0,10.0,2.0,3.0,0,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-15,22021,1414.4834062111545,1576.3294638964564,-161.84605768530196,0.3708181816626058,75.0,89.2,-14.200000000000003,90.8,78.9,11.899999999999991,0.1,0.9,-0.8,-15.799999999999997,10.299999999999997,-26.099999999999994,10.0,10.0,3.0,2.0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-15,22021,1497.7023999057683,1467.5076599469471,30.194739958821174,0.6403232202921934,80.5,78.8,1.7000000000000028,79.0,80.2,-1.2000000000000028,0.5,0.3,0.2,1.5,-1.4000000000000057,2.9000000000000057,10.0,10.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-06-15,22021,1556.622788366907,1516.317749866184,40.30503850072296,0.653614824186305,89.9,82.0,7.900000000000006,78.2,84.6,-6.3999999999999915,0.8,0.6,0.20000000000000007,11.700000000000003,-2.5999999999999943,14.299999999999997,10.0,10.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
